"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4","2","470 pF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C2, C3","2","1 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","D1, D2, D3, D4","4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","J1","1","Entrada","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"5","J2","1","Canais","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"6","J3, J4","2","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"7","R1, R8","2","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"8","R2, R3, R4, R5","4","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"9","U1-Cond1","1","AD8056ARMZ","AD8056:RM_8_ADI",""
