"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C7, C8","4","470 pF","",""
"2","C3, C4, C5, C6","4","1 uF","",""
"3","D1, D2, D3, D4, D5, D6, D7, D8","8","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","J2","1","tensoes","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"5","J3","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"6","J4","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"7","R1, R2, R11, R12","4","220","",""
"8","R3, R4, R5, R6, R7, R8, R9, R10","8","100k","",""
"9","U1, U2","2","AD828AN","N_8_ADI",""
