Designator,Footprint,Quantity,Value,LCSC Part #
"C3, C4",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,100nF,
J1,PinHeader_1x08_P2.54mm_Vertical,1,alimentacao analogica,
J2,PinHeader_1x27_P2.54mm_Vertical,1,sinais analogicos,
J3,PinHeader_1x35_P2.54mm_Vertical,1,comunicacao / sinais digitais,
J4,PinHeader_1x02_P2.54mm_Vertical,1,3.3V STM32,
"R11, R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,2.2k,
U1-AD9850,AD9850_module,1,AD9850_module,
U2,BluePill_STM32F103C,1,BluePill_STM32F103C,
