Designator,Mid X,Mid Y,Rotation,Layer
C3,115.1403,-141.48,90.0,top
C4,120.1403,-141.38,90.0,top
J1,106.68,-66.04,0.0,top
J2,106.68,-114.3,0.0,top
J3,185.42,-100.33,0.0,top
J4,173.93,-147.4,90.0,top
R11,115.1403,-133.68,90.0,top
R12,120.2403,-133.68,90.0,top
U1-AD9850,169.33,-82.085,90.0,top
U2,141.42,-100.7354,180.0,top
