C1:1
C2:1
C3:1
C4:1
CF1-SELECT1:1
CF1A1:1
CF1B1:1
CF2-SELECT2:1
CF2A1:1
CF2B1:1
D1:1
D2:1
D3:1
D4:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
R1:1
R10:1
R11:1
R2:1
R3:1
R4:1
R5:1
R8:1
U1-BUFFER1:1
U2-GAIN1:1
U3-COND-DIP1:1
U4-COND-SMD1:1
U4-DIGPOT2:1
U5-BUFFER1:1
U5-DIGPOT1:1
U6-GAIN1:1
